Tanggal,Pintu Masuk,Jumlah Kunjungan
2010-08-01,Lainnya,29608.0
2010-08-01,Batam,76809.0
2010-08-01,Aruk,
2010-09-01,Husein Sastranegara,5227.0
2010-09-01,A. Pintu Udara,401250.0
2010-09-01,Ngurah Rai,232516.0
2010-09-01,Soekarno-Hatta,125439.0
2010-09-01,Juanda,13171.0
2010-09-01,Kualanamu,12127.0
2010-09-01,Pintu Udara Lainnya,1648.0
2010-09-01,Sultan Badaruddin II,
2010-09-01,Minangkabau,2279.0
2010-09-01,Sultan Syarif Kasim II,1508.0
2010-09-01,Sultan Iskandar Muda,
2010-09-01,Ahmad Yani,
2010-09-01,Supadio,
2010-09-01,Hasanuddin,946.0
2010-09-01,Bandara Int. Lombok,1340.0
2010-09-01,Sam Ratulangi,1561.0
2010-09-01,Jayapura,
2010-09-01,Adi Sucipto,3488.0
2010-09-01,Total,558765.0
2010-09-01,Tanjung Uban,23187.0
2010-09-01,Tanjung Pinang,8390.0
2010-09-01,Tanjung Balai Karimun,7119.0
2010-09-01,Tanjung Benoa,
2010-09-01,Tanjung Mas,
2010-09-01,C. Pintu Darat,1816.0
2010-09-01,Batam,74511.0
2010-09-01,Pintu Laut Lainnya,4776.0
2010-09-01,B. Pintu Laut,117983.0
2010-09-01,Entikong,1816.0
2010-09-01,Aruk,
2010-09-01,Nanga Badau,
2010-09-01,Pintu Darat Lainnya,
2010-09-01,Jumlah (A+B+C),521049.0
2010-09-01,Lainnya,37716.0
2010-09-01,Atambua,
2010-10-01,Soekarno-Hatta,153300.0
2010-10-01,Juanda,12297.0
2010-10-01,Kualanamu,13520.0
2010-10-01,Husein Sastranegara,9570.0
2010-10-01,Adi Sucipto,4419.0
2010-10-01,Bandara Int. Lombok,1459.0
2010-10-01,A. Pintu Udara,431614.0
2010-10-01,Ahmad Yani,
2010-10-01,Sultan Syarif Kasim II,1089.0
2010-10-01,Sultan Iskandar Muda,
2010-10-01,Supadio,
2010-10-01,Hasanuddin,950.0
2010-10-01,Sultan Badaruddin II,
2010-10-01,Sam Ratulangi,1847.0
2010-10-01,Ngurah Rai,229651.0
2010-10-01,Minangkabau,1864.0
2010-10-01,Pintu Udara Lainnya,1648.0
2010-10-01,B. Pintu Laut,123252.0
2010-10-01,Batam,77183.0
2010-10-01,Tanjung Balai Karimun,7707.0
2010-10-01,Tanjung Benoa,
2010-10-01,Tanjung Mas,
2010-10-01,Pintu Laut Lainnya,5690.0
2010-10-01,C. Pintu Darat,1139.0
2010-10-01,Jayapura,
2010-10-01,Nanga Badau,
2010-10-01,Tanjung Pinang,7237.0
2010-10-01,Aruk,
2010-10-01,Pintu Darat Lainnya,
2010-10-01,Jumlah (A+B+C),556005.0
2010-10-01,Lainnya,36809.0
2010-10-01,Total,592814.0
2010-10-01,Tanjung Uban,25435.0
2010-10-01,Atambua,
2010-10-01,Entikong,1139.0
2010-11-01,Ngurah Rai,196856.0
2010-11-01,Soekarno-Hatta,147579.0
2010-11-01,Juanda,17255.0
2010-11-01,B. Pintu Laut,134152.0
2010-11-01,Husein Sastranegara,6321.0
2010-11-01,Adi Sucipto,1254.0
2010-11-01,Kualanamu,14102.0
2010-11-01,Ahmad Yani,
2010-11-01,Sultan Syarif Kasim II,2070.0
2010-11-01,Sultan Iskandar Muda,
